Country,Purpose,2006,2007,2008,2009,2010,2011,2012,2013
Argentina,Vacation/Holiday,,,64,65,60,64,76,74
,Visit Friends/Relatives,,,13,18,14,12,10,11
,Business,,,15,12,15,16,6,9
,Convention/Conference/Trade Show,,,7,5,8,6,5,4
,,,,,,,,,
Australia,Vacation/Holiday,48,52,55,51,61,67,71,75
,Visit Friends/Relatives,26,25,23,29,20,19,15,13
,Business,16,13,13,12,11,8,5,6
,Convention/Conference/Trade Show,9,8,6,5,4,4,6,4
,,,,,,,,,
Brazil,Vacation/Holiday,49,45,51,59,64,66,69,73
,Visit Friends/Relatives,29,21,12,13,12,9,8,7
,Business,25,25,22,18,14,16,11,9
,Convention/Conference/Trade Show,5,6,5,4,7,5,7,5
,Study/Teaching,,,7,4,,,,
,,,,,,,,,
China,Vacation/Holiday,8,9,49,13,16,27,30,32
,Visit Friends/Relatives,14,23,22,26,25,24,20,21
,Education,13,11,7,8,11,14,15,17
,Business,60,51,49,45,42,30,19,16
,,,,,,,,,
Chile,Vacation/Holiday,,,,,,,50,66
,Visit Friends/Relatives,,,,,,,24,12
,Education,,,,,,,2,7
,Business,,,,,,,13,9
,,,,,,,,,
Colombia,Vacation/Holiday,,35,40,,,46,53,54
,Visit Friends/Relatives,,35,29,,,28,24,20
,Education,,10,8,,,6,4,7
,Business,,16,18,,,14,9,14
,,,,,,,,,
,,,,,,,,,
France,Vacation/Holiday,,42,47,58,59,56,59,60
,Visit Friends/Relatives,,26,23,21,20,20,17,18
,business,,24,23,15,14,17,11,10
,Convention/Conference/trade show,,4,5,3,3,4,7,6
,,,,,,,,,
India,Vacation/Holiday,8,18,21,11,7,7,11,12
,Visit Friends/Relatives,28,41,43,32,33,31,29,30
,business,51,58,59,45,49,50,40,39
,Convention/Conference/trade show,5,6,8,4,6,7,10,10
,,,,,,,,,
Germany,Vacation/Holiday,37,34,45,50,51,51,53,53
,Visit Friends/Relatives,24,22,21,25,22,24,18,19
,business,28,35,26,17,19,18,16,15
,Convention/Conference/trade show,5,5,5,4,5,4,9,7
,,,,,,,,,
Italy,Vacation/Holiday,50,55,55,57,60,59,60,63
